Sel ternaire	MXO	Al(ClO4)3	Al(ClO{_4})_{3}	perchlorate d'aluminium	324	133
Sel ternaire	MXO	Ni(ClO4)2	Ni(ClO{_4})_{2}	perchlorate de nickel(II)	257	110
Sel binaire	MX	RbI	RbI	iodure de rubidium	212	144
Sel ternaire	MXO	Sr(IO3)2	Sr(IO{_3})_{2}	iodate de strontium	438	0,19
Sel ternaire	MXO	KNO2	KNO{_2}	nitrite de potassium	85	306
Sel ternaire	MXO	Cd(NO3)2	Cd(NO{_3})_{2}	nitrate de cadmium(II)	236	136
Sel ternaire	MXO	AgClO2	AgClO{_2}	chlorite d'argent(I)	175	0,248
Sel ternaire	MXO	Mg(ClO4)2	Mg(ClO{_4})_{2}	perchlorate de magnésium	222	49,6
Sel ternaire	MXO	Ce(IO3)3	Ce(IO{_3})_{3}	iodate de cérium	665	0,123
Sel binaire	MX	CsI	CsI	iodure de césium	260	76,5
Sel ternaire	MXO	Mg(ClO3)2	Mg(ClO{_3})_{2}	chlorate de magnésium	190	135
Sel binaire	MX	BaI2	BaI_{2}	iodure de baryum	391	223
Sel ternaire	MXO	NaNO3	NaNO{_3}	nitrate de sodium	85	87,6
Sel ternaire	MXO	Al(NO3)3	Al(NO{_3})_{3}	nitrate d'aluminium	213	73,9
Sel ternaire	MXO	KClO3	KClO{_3}	chlorate de potassium	122	7,3
Sel ternaire	MXO	TlClO4	TlClO{_4}	perchlorate de thallium(I)	303	13,1
Sel ternaire	MXO	AgClO3	AgClO{_3}	chlorate d'argent(I)	191	15,3
Sel ternaire	MXO	RbClO3	RbClO{_3}	chlorate de rubidium	168	5,4
Sel binaire	MX	TlBr	TlBr	bromure de thallium(I)	284	0,048
Sel binaire	MX	ZnCl2	ZnCl_{2}	chlorure de zinc(II)	135	395
Sel ternaire	MXO	Hg(ClO3)2	Hg(ClO{_3})_{2}	chlorate de mercure(II)	367	25
Sel binaire	MX	MgI2	MgI_{2}	iodure de magnésium	278	140
Sel binaire	MX	AgF	AgF	fluorure d'argent(I)	127	172
Sel ternaire	MXO	LiMnO4	LiMnO{_4}	permanganate de lithium	126	71,4
Sel ternaire	MXO	KNO3	KNO{_3}	nitrate de potassium	101	31,6
Sel ternaire	MXO	Mg(IO3)2	Mg(IO{_3})_{2}	iodate de magnésium	374	8,6
Sel ternaire	MXO	CsNO3	CsNO{_3}	nitrate de césium	195	23
Sel ternaire	MXO	Na2CO3	Na_{2}CO{_3}	carbonate de sodium	106	21,5
Sel ternaire	MXO	CdSO4	CdSO{_4}	sulfate de cadmium(II)	176	76,6
Sel binaire	MX	CeCl3	CeCl_{3}	chlorure de cérium	245	100
Sel ternaire	MXO	(NH4)2SO3	{NH_{4}}_{2}SO{_3}	sulfite d'ammonium	116	60,8
Sel binaire	MX	PbBr2	PbBr_{2}	bromure de plomb(II)	367	0,86
Sel ternaire	MXO	LiClO3	LiClO{_3}	chlorate de lithium	90	372
Sel ternaire	MXO	Ni(ClO3)2	Ni(ClO{_3})_{2}	chlorate de nickel(II)	225	133
Sel binaire	MX	MnCl2	MnCl_{2}	chlorure de manganèse(II)	125	73,9
Sel ternaire	MXO	CsIO3	CsIO{_3}	iodate de césium	308	2,6
Sel ternaire	MXO	LiNO2	LiNO{_2}	nitrite de lithium	53	96,8
Sel ternaire	MXO	Ag2SO4	Ag_{2}SO{_4}	sulfate d'argent(I)	280	0,8
Sel ternaire	MXO	AgNO3	AgNO{_3}	nitrate d'argent(I)	170	216
Sel binaire	MX	CoCl2	CoCl_{2}	chlorure de cobalt(II)	129	52,9
Sel binaire	MX	KI	KI	iodure de potassium	166	144
Sel ternaire	MXO	Ca(BrO3)2	Ca(BrO{_3})_{2}	bromate de calcium	296	230
Sel binaire	MX	TlF	TlF	fluorure de thallium(I)	223	78
Sel ternaire	MXO	(NH4)2CrO4	{NH_{4}}_{2}CrO{_4}	chromate d'ammonium	152	34
Sel ternaire	MXO	Be(NO3)2	Be(NO{_3})_{2}	nitrate de béryllium	133	108
Sel binaire	MX	KF	KF	fluorure de potassium	58	94,9
Sel ternaire	MXO	K2CrO4	K_{2}CrO{_4}	chromate de potassium	194	63,7
Sel ternaire	MXO	Fe(ClO4)3	Fe(ClO{_4})_{3}	perchlorate de fer(III)	353	368
Sel ternaire	MXO	Na2CrO4	Na_{2}CrO{_4}	chromate de sodium	162	84
Sel ternaire	MXO	Sr(NO3)2	Sr(NO{_3})_{2}	nitrate de strontium	212	69,5
Sel binaire	MX	ZnI2	ZnI_{2}	iodure de zinc(II)	319	432
Sel ternaire	MXO	K2CO3	K_{2}CO{_3}	carbonate de potassium	138	111
Sel binaire	MX	CsBr	CsBr	bromure de césium	213	108
Sel ternaire	MXO	Co(ClO4)2	Co(ClO{_4})_{2}	perchlorate de cobalt(II)	257	104
Sel binaire	MX	CuCl2	CuCl_{2}	chlorure de cuivre(II)	134	73
