Iodate de thorium(IV) 	Th(IO3)4 	0,03691
Iodure d'ammonium 	NH4I 	172
Iodure d'étain(II) 	SnI2 	0,99
Iodure de baryum 	BaI2 	223
Iodure de cadmium 	CdI2 	84,7
Iodure de calcium 	CaI2 	66
Iodure de césium 	CsI 	76,5
Iodure de cobalt(II) 	CoI2 	203
Iodure de lithium 	LiI 	165
Iodure de magnésium 	MgI2 	140
Iodure de nickel(II) 	NiI2 	148
Iodure de plomb(II) 	PbI2 	0,069
Iodure de potassium 	KI 	144
Iodure de rubidium 	RbI 	144
Iodure de sodium 	NaI 	178
Iodure de strontium 	SrI2 	178
Iodure de zinc 	ZnI2 	432
Molybdate de béryllium 	BeMoO4 	3,02
Molybdate de lithium 	Li2MoO4 	79,5
Molybdate de magnésium 	MgMoO4 	13,7
Molybdate de sodium 	Na2MoO4 	65,3
Molybdate de strontium 	SrMoO4 	0,01107
Nitrate d'aluminium 	Al(NO3)3 	73,9
Nitrate d'ammonium 	NH4NO3 	192
Nitrate d'argent 	AgNO3 	216
Nitrate d'yttrium(III) 	Y(NO3)3 	123
Nitrate de baryum 	Ba(NO3)2 	9,02
Nitrate de béryllium 	Be(NO3)2 	108
Nitrate de cadmium 	Cd(NO3)2 	136
Nitrate de calcium 	Ca(NO3)2 	121,2
Nitrate de cérium(III) 	Ce(NO3)3 	234
Nitrate de césium 	CsNO3 	23
Nitrate de chrome (III) 	Cr(NO3)3) 	130
Nitrate de cobalt(II) 	Co(NO3)2 	97,4
Nitrate de cuivre(II) 	Cu(NO3)2 	125
Nitrate de lanthane(III) 	La(NO3)3 	136
Nitrate de lithium 	LiNO3 	70,1
Nitrate de magnésium 	Mg(NO3)2 	69,5
Nitrate de manganese(II) 	Mn(NO3)2 	139
Nitrate de néodyme(III) 	Nd(NO3)3 	145
Nitrate de nickel(II) 	Ni(NO3)2 	94,2
Nitrate de plomb(II) 	Pb(NO3)2 	54,3
Nitrate de potassium 	KNO3 	31,6
Nitrate de praséodyme(III) 	Pr(NO3)3 	112
Nitrate de radium 	Ra(NO3)2 	12
Nitrate de rubidium 	RbNO3 	52,9
Nitrate de sodium 	NaNO3 	87,6
Nitrate de strontium 	Sr(NO3)2 	69,5
Nitrate de thallium(I) 	TlNO3 	9,55
Nitrate de thorium(IV) 	Th(NO3)4 	191
Nitrate Uranyle 	UO2(NO3)2 	122
Nitrite d'argent 	AgNO2 	0,34
Nitrite de baryum 	Ba(NO2)2 	72,8
Nitrite de cobalt(II) 	Co(NO2)2 	0,4
Nitrite de lithium 	LiNO2 	96,8
Nitrite de potassium 	KNO2 	306
Nitrite de sodium 	NaNO2 	80,8
Orthoperiodate d'ammonium 	(NH4)5IO6 	2,7
Oxalate d'ammonium 	(NH4)2C2O4 	4,45
Oxalate d'or(V) 	Au2(C2O4)5 	0,258
Oxalate de césium 	Cs2C2O4 	313
Oxalate de lithium 	Li2C2O4 	8
Oxalate de magnésium 	MgC2O4 	0,104
Oxalate de mercure(II) 	HgC2O4 	0,011
Oxalate de potassium 	K2C2O4 	36,4
Oxalate de sodium 	Na2C2O4 	3,41
Oxalate de thallium(I) 	Tl2C2O4 	1,83
Oxalate Uranyle 	UO2C2O4 	0,5
Oxyde de baryum 	BaO 	3,48
Oxyde de silicium 	SiO2 	0,012
Oxyde de vanadium(V) 	V2O5 	0,8
Pentoxyde d'arsenic 	As2O5 	65,8
Perchlorate d'aluminium 	Al(ClO4)3 	133
Perchlorate d'ammonium 	NH4ClO4 	20,85
Perchlorate d'argent 	AgClO4 	532,9
Perchlorate de béryllium 	Be(ClO4)2 	147
Perchlorate de cadmium 	Cd(ClO4)2 	188
